,index,date,duration,item,month,network
0,0,15/10/2014 06:58,34.429,data,2014-11,Tesco
1,1,15/10/2014 06:58,13.0,,2014-11,Vodafone
2,2,15/10/2014 14:46,23.0,call,2014-11,Meter
3,3,15/10/2014 14:48,4.0,call,2014-11,Tesco
4,4,15/10/2014 17:27,4.0,call,2014-11,Tescoss
5,5,15/10/2014 18:55,4.0,call,2014-11,Tesco
6,6,16/10/2014 06:58,34.429,data,2014-11,Tesco
9,9,16/10/2014 15:30,19.0,call,2014-11,Tesco
11,11,16/10/2014 22:18,,sms,2014-11,Meteor
12,12,16/10/2014 22:21,1.0,sms,2014-11,Meteor
13,13,17/10/2014 06:58,34.429,data,2014-11,Tesco
14,14,17/10/2014 10:53,1.0,sms,2014-11,Tescos
15,15,17/10/2014 11:19,1.0,sms,2014-11,Tesco
16,16,17/10/2014 11:20,1.0,sms,2014-11,Meteor
17,17,17/10/2014 17:22,1.0,sms,2014-11,Vodafone
18,18,17/10/2014 17:23,,sms,2014-11,Vodafone
19,19,17/10/2014 17:26,92.0,call,2014-11,Three
20,20,17/10/2014 17:29,4.0,call,2014-11,Vodafone
21,21,17/10/2014 17:30,375.0,call,2014-11,Tesco
22,22,17/10/2014 17:42,1.0,sms,2014-11,Vodafone
23,23,17/10/2014 17:44,1.0,sms,2014-11,Vodafone
24,24,17/10/2014 17:44,1.0,sms,2014-11,Vodafone
25,25,17/10/2014 17:44,1.0,sms,2014-11,Vodafone
26,26,18/10/2014 06:58,34.429,data,2014-11,Tesco
28,28,18/10/2014 12:06,4.0,call,2014-11,Vodafone
29,29,18/10/2014 12:06,3.0,call,2014-11,Vodafone
30,30,18/10/2014 13:08,101.0,call,2014-11,Vodafone
32,32,18/10/2014 14:01,96.0,call,2014-11,Tesco
33,33,18/10/2014 18:52,1.0,sms,2014-11,Vodafone
34,34,18/10/2014 20:44,384.0,call,2014-11,Three
35,35,18/10/2014 21:04,4.0,call,2014-11,Three
36,36,18/10/2014 21:06,1.0,sms,2014-11,Three
37,37,18/10/2014 21:23,1.0,sms,2014-11,Vodafone
38,38,18/10/2014 22:37,1.0,sms,2014-11,Three
39,39,19/10/2014 06:58,34.429,data,2014-11,Tesco
40,40,19/10/2014 14:47,53.0,call,2014-11,Three
41,41,19/10/2014 15:46,86.0,call,2014-11,Tesco
42,42,19/10/2014 16:21,23.0,call,2014-11,Three
43,43,19/10/2014 16:30,38.0,call,2014-11,Three
44,44,19/10/2014 20:25,428.0,call,2014-11,Three
45,45,20/10/2014 06:58,34.429,data,2014-11,Tesco
46,46,20/10/2014 09:43,69.0,call,2014-11,Tesco
47,47,20/10/2014 09:43,18.0,call,2014-11,Tesco
48,48,20/10/2014 13:55,3.0,call,2014-11,Vodafone
49,49,20/10/2014 13:56,6.0,call,2014-11,Tesco
50,50,20/10/2014 18:14,5.0,call,2014-11,Tesco
51,51,20/10/2014 18:24,131.0,call,2014-11,Vodafone
52,52,20/10/2014 19:59,1.0,sms,2014-11,Vodafone
53,53,20/10/2014 20:16,1.0,sms,2014-11,Vodafone
54,54,21/10/2014 06:58,34.429,data,2014-11,Tesco
55,55,21/10/2014 16:17,550.0,call,2014-11,Three
56,56,22/10/2014 06:58,34.429,data,2014-11,Tesco
57,57,22/10/2014 12:04,7.0,call,2014-11,Three
58,58,23/10/2014 06:58,34.429,data,2014-11,Tesco
60,60,23/10/2014 09:45,281.0,call,2014-11,Meteor
61,61,23/10/2014 10:46,1.0,sms,2014-11,Tesco
62,62,23/10/2014 10:54,1.0,sms,2014-11,Vodafone
63,63,23/10/2014 11:17,1.0,sms,2014-11,Vodafone
64,64,23/10/2014 11:25,24.0,call,2014-11,Vodafone
