,survived,pclass,sex,age,sibsp,parch,fare,class,embark_town,alive
0,0,3,male,22.0,1,0,7.25,Third,Southampton,No
1,1,1,female,38.0,1,0,71.2833,First,Cherbourg,Yes
2,1,3,female,26.0,0,0,7.925,Third,Southampton,Yes
3,1,1,female,35.0,1,0,53.1,First,Southampton,Yes
4,0,3,male,35.0,0,0,8.05,Third,Southampton,No
5,0,3,male,,0,0,8.4583,Third,Queensland,No
6,0,1,male,54.0,0,0,51.8625,First,Southampton,No
7,0,3,male,2.0,3,1,21.075,Third,Southampton,No
8,1,3,female,27.0,0,2,11.1333,Third,Southampton,Yes
9,1,2,female,14.0,1,0,30.0708,Second,Cherbourg,Yes
10,1,3,female,4.0,1,1,16.7,Third,Southampton,Yes
11,1,1,female,58.0,0,0,26.55,First,Southampton,Yes
12,0,3,male,20.0,0,0,8.05,Third,Southampton,No
13,0,3,male,39.0,1,5,31.275,Third,Southampton,No
14,0,3,female,14.0,0,0,7.8542,Third,Southampton,No
15,1,2,female,55.0,0,0,16.0,Second,Southampton,Yes
16,0,3,male,2.0,4,1,29.125,Third,Queensland,No
17,1,2,male,,0,0,13.0,Second,Southampton,Yes
18,0,3,female,31.0,1,0,18.0,Third,Southampton,No
19,1,3,female,,0,0,7.225,Third,Cherbourg,Yes
20,0,2,male,35.0,0,0,26.0,Second,Southampton,No
21,1,2,male,34.0,0,0,13.0,Second,Southampton,Yes
22,1,3,female,15.0,0,0,8.0292,Third,Queensland,Yes
23,1,1,male,28.0,0,0,35.5,First,Southampton,Yes
24,0,3,female,8.0,3,1,21.075,Third,Southampton,No
25,1,3,female,38.0,1,5,31.3875,Third,Southampton,Yes
26,0,3,male,,0,0,7.225,Third,Cherbourg,No
27,0,1,male,19.0,3,2,263.0,First,Southampton,No
28,1,3,female,,0,0,7.8792,Third,Queensland,Yes
29,0,3,male,,0,0,7.8958,Third,Southampton,No
30,0,1,male,40.0,0,0,27.7208,First,Cherbourg,No
31,1,1,female,,1,0,146.5208,First,Cherbourg,Yes
32,1,3,female,,0,0,7.75,Third,Queensland,Yes
33,0,2,male,66.0,0,0,10.5,Second,Southampton,No
34,0,1,male,28.0,1,0,82.1708,First,Cherbourg,No
35,0,1,male,42.0,1,0,52.0,First,Southampton,No
36,1,3,male,,0,0,7.2292,Third,Cherbourg,Yes
37,0,3,male,21.0,0,0,8.05,Third,Southampton,No
38,0,3,female,18.0,2,0,18.0,Third,Southampton,No
39,1,3,female,14.0,1,0,11.2417,Third,Cherbourg,Yes
40,0,3,female,40.0,1,0,9.475,Third,Southampton,No
41,0,2,female,27.0,1,0,21.0,Second,Southampton,No
42,0,3,male,,0,0,7.8958,Third,Cherbourg,No
43,1,2,female,3.0,1,2,41.5792,Second,Cherbourg,Yes
44,1,3,female,19.0,0,0,7.8792,Third,Queensland,Yes
45,0,3,male,,0,0,8.05,Third,Southampton,No
46,0,3,male,,1,0,15.5,Third,Queensland,No
47,1,3,female,,0,0,7.75,Third,Queensland,Yes
48,0,3,male,,2,0,21.6792,Third,Cherbourg,No
49,0,3,female,18.0,1,0,17.8,Third,Southampton,No
50,0,3,male,7.0,4,1,39.6875,Third,Southampton,No
51,0,3,male,21.0,0,0,7.8,Third,Southampton,No
52,1,1,female,49.0,1,0,76.7292,First,Cherbourg,Yes
53,1,2,female,29.0,1,0,26.0,Second,Southampton,Yes
54,0,1,male,65.0,0,1,61.9792,First,Cherbourg,No
55,1,1,male,,0,0,35.5,First,Southampton,Yes
56,1,2,female,21.0,0,0,10.5,Second,Southampton,Yes
57,0,3,male,28.5,0,0,7.2292,Third,Cherbourg,No
58,1,2,female,5.0,1,2,27.75,Second,Southampton,Yes
59,0,3,male,11.0,5,2,46.9,Third,Southampton,No
60,0,3,male,22.0,0,0,7.2292,Third,Cherbourg,No
61,1,1,female,38.0,0,0,80.0,First,,Yes
62,0,1,male,45.0,1,0,83.475,First,Southampton,No
63,0,3,male,4.0,3,2,27.9,Third,Southampton,No
64,0,1,male,,0,0,27.7208,First,Cherbourg,No
65,1,3,male,,1,1,15.2458,Third,Cherbourg,Yes
66,1,2,female,29.0,0,0,10.5,Second,Southampton,Yes
67,0,3,male,19.0,0,0,8.1583,Third,Southampton,No
68,1,3,female,17.0,4,2,7.925,Third,Southampton,Yes
69,0,3,male,26.0,2,0,8.6625,Third,Southampton,No
70,0,2,male,32.0,0,0,10.5,Second,Southampton,No
71,0,3,female,16.0,5,2,46.9,Third,Southampton,No
72,0,2,male,21.0,0,0,73.5,Second,Southampton,No
73,0,3,male,26.0,1,0,14.4542,Third,Cherbourg,No
74,1,3,male,32.0,0,0,56.4958,Third,Southampton,Yes
75,0,3,male,25.0,0,0,7.65,Third,Southampton,No
76,0,3,male,,0,0,7.8958,Third,Southampton,No
77,0,3,male,,0,0,8.05,Third,Southampton,No
78,1,2,male,0.83,0,2,29.0,Second,Southampton,Yes
79,1,3,female,30.0,0,0,12.475,Third,Southampton,Yes
80,0,3,male,22.0,0,0,9.0,Third,Southampton,No
81,1,3,male,29.0,0,0,9.5,Third,Southampton,Yes
82,1,3,female,,0,0,7.7875,Third,Queensland,Yes
83,0,1,male,28.0,0,0,47.1,First,Southampton,No
84,1,2,female,17.0,0,0,10.5,Second,Southampton,Yes
85,1,3,female,33.0,3,0,15.85,Third,Southampton,Yes
86,0,3,male,16.0,1,3,34.375,Third,Southampton,No
87,0,3,male,,0,0,8.05,Third,Southampton,No
88,1,1,female,23.0,3,2,263.0,First,Southampton,Yes
89,0,3,male,24.0,0,0,8.05,Third,Southampton,No
90,0,3,male,29.0,0,0,8.05,Third,Southampton,No
91,0,3,male,20.0,0,0,7.8542,Third,Southampton,No
92,0,1,male,46.0,1,0,61.175,First,Southampton,No
93,0,3,male,26.0,1,2,20.575,Third,Southampton,No
94,0,3,male,59.0,0,0,7.25,Third,Southampton,No
95,0,3,male,,0,0,8.05,Third,Southampton,No
96,0,1,male,71.0,0,0,34.6542,First,Cherbourg,No
97,1,1,male,23.0,0,1,63.3583,First,Cherbourg,Yes
98,1,2,female,34.0,0,1,23.0,Second,Southampton,Yes
99,0,2,male,34.0,1,0,26.0,Second,Southampton,No
100,0,3,female,28.0,0,0,7.8958,Third,Southampton,No
101,0,3,male,,0,0,7.8958,Third,Southampton,No
102,0,1,male,21.0,0,1,77.2875,First,Southampton,No
103,0,3,male,33.0,0,0,8.6542,Third,Southampton,No
104,0,3,male,37.0,2,0,7.925,Third,Southampton,No
105,0,3,male,28.0,0,0,7.8958,Third,Southampton,No
106,1,3,female,21.0,0,0,7.65,Third,Southampton,Yes
107,1,3,male,,0,0,7.775,Third,Southampton,Yes
108,0,3,male,38.0,0,0,7.8958,Third,Southampton,No
109,1,3,female,,1,0,24.15,Third,Queensland,Yes
110,0,1,male,47.0,0,0,52.0,First,Southampton,No
111,0,3,female,14.5,1,0,14.4542,Third,Cherbourg,No
112,0,3,male,22.0,0,0,8.05,Third,Southampton,No
113,0,3,female,20.0,1,0,9.825,Third,Southampton,No
114,0,3,female,17.0,0,0,14.4583,Third,Cherbourg,No
115,0,3,male,21.0,0,0,7.925,Third,Southampton,No
116,0,3,male,70.5,0,0,7.75,Third,Queensland,No
117,0,2,male,29.0,1,0,21.0,Second,Southampton,No
118,0,1,male,24.0,0,1,247.5208,First,Cherbourg,No
119,0,3,female,2.0,4,2,31.275,Third,Southampton,No
120,0,2,male,21.0,2,0,73.5,Second,Southampton,No
121,0,3,male,,0,0,8.05,Third,Southampton,No
122,0,2,male,32.5,1,0,30.0708,Second,Cherbourg,No
